Ticker,Vencimento,Dias úteis,F.M. ,Mod.,Strike,A/I/OTM,Dist. (%) do Strike,Último,Var. (%),Data/Hora,Núm. de Neg.,Vol. Financeiro,Vol. Impl. (%),Delta,Gamma,Theta ($),Theta (%),Vega,IQ,Coberto,Travado,Descob.,Tit.,Lanç.
PETRF541,20/06/2025,13,,E,5.41,ITM,"-8,249","2,675",-52,20/05/2025,40,"107.043,00",,,,,,,200,0,100,4,4,2
PETRF571,20/06/2025,13,,A,5.71,ITM,"-8,152","2,521",,29/05/2025,36,"833.809,00",,"10,000",0,-33,-1,0,150,0,0,10.1,3,2
PETRF591,20/06/2025,13,,A,5.91,ITM,"-8,087","2,595",,14/05/2025,1,"176.460,00",,,,,,,100,0,0,6.8,1,1
PETRF674,20/06/2025,13,,A,6.01,ITM,"-8,055","2,457",,16/04/2025,1,"24.570,00",,,,,,,100,1,0,0,1,1
PETRF764,20/06/2025,13,,E,6.91,ITM,"-7,764","2,498","+6,12",14/05/2025,1,"17.486,00",,,,,,,100,0,0,5.2,2,2
PETRF834,20/06/2025,13,,A,7.61,ITM,"-7,537","2,418",,16/05/2025,1,"79.794,00",,,,,,,100,0,0,3.3,1,1
PETRF844,20/06/2025,13,,E,7.71,ITM,"-7,505","2,421","+9,15",12/05/2025,1,"401.886,00",,,,,,,40,200,0,20.1,2,5
PETRF854,20/06/2025,13,,A,7.81,ITM,"-7,472","2,360",,14/04/2025,1,"118.000,00",,,,,,,100,0,0,5,1,1
PETRF874,20/06/2025,13,,A,8.01,ITM,"-7,408","2,327",,14/04/2025,1,"55.848,00",,,,,,,100,0,0,2.4,1,1
PETRF884,20/06/2025,13,,E,8.11,ITM,"-7,375","2,416","+1,73",20/05/2025,1,"4.832,00",,,,,,,100,0,7.5,0,2,2
PETRF904,20/06/2025,13,,E,8.31,ITM,"-7,311","2,220",-259,16/04/2025,3,"188.800,00",,,,,,,25,0,1.5,8.4,1,4
PETRF144,20/06/2025,13,,E,9.01,ITM,"-7,084","2,302","+0,09",16/05/2025,1,"39.134,00",,,,,,,67,0,95,71.5,4,6
PETRF994,20/06/2025,13,,E,9.21,ITM,"-7,019","2,283","+4,25",15/05/2025,1,"27.396,00",,,,,,,100,0,10.2,3.5,3,3
PETRF931,20/06/2025,13,,A,9.31,ITM,"-6,987","2,170","+4,23",08/05/2025,1,"6.510,00",,,,,,,100,300,0,0,1,1
PETRF971,20/06/2025,13,,E,9.71,ITM,"-6,858","2,116",,08/05/2025,1,"116.380,00",,,,,,,100,0,0,5.5,1,1
PETRF104,20/06/2025,13,,A,9.76,ITM,"-6,841","2,234",,14/05/2025,1,"37.978,00",,,,,,,100,0,0,1.7,1,1
PETRF22,20/06/2025,13,,E,10.01,ITM,"-6,761","2,113",-112,30/05/2025,1,"2.113,00",,"10,000",0,-58,-3,0,78,300,0,10.9,7,9
PETRF109,20/06/2025,13,,A,10.26,ITM,"-6,680","2,001",,07/05/2025,1,"14.007,00",,,,,,,100,0,0,700,1,1
PETRF112,20/06/2025,13,,E,10.51,ITM,"-6,599","2,148",-9,12/05/2025,1,"700.248,00",,,,,,,67,0,0,33.5,2,3
PETRF114,20/06/2025,13,,A,10.76,ITM,"-6,518","2,134","+10,00",14/05/2025,1,"49.082,00",,,,,,,50,0,0,5.4,1,2
PETRF122,20/06/2025,13,,E,11.51,ITM,"-6,275","1,964",-354,30/05/2025,1,"1.964,00",,,,,,,43,1.3,0,37.6,3,7
PETRF124,20/06/2025,13,,A,11.76,ITM,"-6,194","2,016",-122,16/05/2025,6,"248.094,00",,,,,,,100,0,0,14.7,2,2
PETRF127,20/06/2025,13,,E,12.01,ITM,"-6,113","2,000","+1,52",15/05/2025,2,"23.867,00",,,,,,,27,200,8.3,15.9,3,11
PETRF129,20/06/2025,13,,A,12.26,ITM,"-6,032","1,986","+0,30",21/05/2025,1,"1.986,00",,,,,,,100,0,0,597,2,2
PETRF132,20/06/2025,13,,E,12.51,ITM,"-5,951","1,952",-15,15/05/2025,8,"1.087.881,00",,,,,,,38,12.2,17.9,46.7,3,8
PETRF134,20/06/2025,13,,A,12.76,ITM,"-5,871","1,796",,11/04/2025,1,"10.776,00",,,,,,,100,0,0,600,1,1
PETRF137,20/06/2025,13,,E,13.01,ITM,"-5,790","1,811",-258,30/05/2025,1,"12.677,00",,"10,000",0,-75,-4,0,43,200,12.6,41.8,3,7
PETRF139,20/06/2025,13,,A,13.26,ITM,"-5,709","1,818",-361,26/05/2025,1,"3.636,00",,,,,,,100,0,0,6.3,2,2
PETRF146,20/06/2025,13,,E,14.01,ITM,"-5,466","1,804","+10,74",16/05/2025,1,"3.608,00",,,,,,,100,0,0,21.6,3,3
PETRF148,20/06/2025,13,,A,14.26,ITM,"-5,385","1,815","+1,40",20/05/2025,1,"5.445,00",,,,,,,200,0,1.2,0,2,1
PETRF152,20/06/2025,13,,E,14.51,ITM,"-5,304","1,760","+0,57",20/05/2025,2,"14.122,00",,,,,,,38,100,100,242.2,3,8
PETRF15,20/06/2025,13,,A,14.76,ITM,"-5,223","1,722",-98,15/05/2025,2,"113.512,00",,,,,,,33,0,1,7.5,1,3
PETRF159,20/06/2025,13,,A,15.26,ITM,"-5,061","1,605",,10/04/2025,2,"40.138,00",,,,,,,100,2.4,0,100,1,1
PETRF162,20/06/2025,13,,E,15.51,ITM,"-4,981","1,650","+5,90",12/05/2025,2,"82.500,00",,,,,,,100,0,0,5.8,2,2
PETRF164,20/06/2025,13,,A,15.76,ITM,"-4,900","1,537","+6,07",09/05/2025,1,"6.148,00",,,,,,,75,0,0,18.3,3,4
PETRF167,20/06/2025,13,,E,16.01,ITM,"-4,819","1,570",-194,22/05/2025,1,"1.570,00",,,,,,,80,100,0,28.8,4,5
PETRF169,20/06/2025,13,,A,16.26,ITM,"-4,738","1,567",-51,16/05/2025,1,"9.402,00",,"10,000",0,-94,-6,0,50,0,16,2.6,3,6
PETRF17,20/06/2025,13,,A,16.76,ITM,"-4,576","1,443",-538,30/05/2025,1,"21.645,00",,"10,000",0,-93,-6,0,133,0,9.2,0,4,3
PETRF176,20/06/2025,13,,E,17.01,ITM,"-4,495","1,419",-77,30/05/2025,1,"28.380,00",,"10,000",0,-94,-7,0,33,2.1,28.6,33.1,4,12
PETRF178,20/06/2025,13,,A,17.26,ITM,"-4,414","1,391",-466,30/05/2025,1,"27.820,00",,"10,000",0,-96,-7,0,75,0,800,2.9,3,4
